DATE,Confirmed
11/10/20,10297574
11/11/20,10445257
11/12/20,10604054
11/13/20,10783572
11/14/20,10947622
11/15/20,11087339
11/16/20,11240426
11/17/20,11405072
11/18/20,11577043
11/19/20,11769345
11/20/20,11971013
11/21/20,12150834
11/22/20,12297421
11/23/20,12478932
11/24/20,12652494
11/25/20,12832706
11/26/20,12949955
11/27/20,13164591
11/28/20,13332816
11/29/20,13473161
11/30/20,13628075
12/1/20,13825191
12/2/20,14021356
12/3/20,14241585
12/4/20,14476958
12/5/20,14698965
12/6/20,14878293
12/7/20,15073756
12/8/20,15300812
12/9/20,15516824
12/10/20,15753765
12/11/20,15992673
12/12/20,16217207
12/13/20,16408802
12/14/20,16618642
12/15/20,16844958
12/16/20,17079763
12/17/20,17320015
12/18/20,17567965
12/19/20,17773816
12/20/20,17961012
12/21/20,18157872
12/22/20,18363808
12/23/20,18585247
12/24/20,18798193
12/25/20,18925365
12/26/20,19142802
12/27/20,19278759
12/28/20,19452060
12/29/20,19658036
12/30/20,19876330
12/31/20,20191414
1/1/21,20370320
1/2/21,20642603
1/3/21,20845994
1/4/21,21031506
1/5/21,21264369
1/6/21,21524130
1/7/21,21810383
1/8/21,22114459
1/9/21,22379212
1/10/21,22590061
1/11/21,22794031
1/12/21,23015847
1/13/21,23245189
1/14/21,23480771
1/15/21,23725767
1/16/21,23943449
1/17/21,24120007
1/18/21,24260832
1/19/21,24417733
1/20/21,24605129
1/21/21,24797690
1/22/21,24989465
1/23/21,25167646
1/24/21,25307789
1/25/21,25437391
1/26/21,25588401
1/27/21,25743857
1/28/21,25910622
1/29/21,26074360
1/30/21,26225297
1/31/21,26338152
2/1/21,26463473
2/2/21,26580504
2/3/21,26704874
2/4/21,26829909
2/5/21,26961019
2/6/21,27077878
2/7/21,27167306
2/8/21,27250107
2/9/21,27345486
2/10/21,27440767
2/11/21,27547542
2/12/21,27648125
2/13/21,27738885
2/14/21,27807191
2/15/21,27862641
2/16/21,27921864
2/17/21,27990710
2/18/21,28063289
2/19/21,28138442
2/20/21,28212224
2/21/21,28267488
2/22/21,28322972
2/23/21,28396831
2/24/21,28471854
2/25/21,28549131
2/26/21,28624550
2/27/21,28695836
2/28/21,28747597
3/1/21,28798041
3/2/21,28856459
3/3/21,28923510
3/4/21,28992456
3/5/21,29060336
3/6/21,29121367
3/7/21,29162976
3/8/21,29207074
3/9/21,29262579
3/10/21,29320352
3/11/21,29382143
3/12/21,29444747
3/13/21,29501567
3/14/21,29540843
3/15/21,29591877
3/16/21,29645943
3/17/21,29705217
3/18/21,29767606
3/19/21,29829239
3/20/21,29888104
3/21/21,29923482
3/22/21,29970911
3/23/21,30023769
3/24/21,30111527
3/25/21,30179156
3/26/21,30255528
3/27/21,30319583
3/28/21,30365903
3/29/21,30431776
3/30/21,30493467
3/31/21,30562999
4/1/21,30639859
4/2/21,30713884
4/3/21,30778765
4/4/21,30816688
4/5/21,30883778
4/6/21,30946605
4/7/21,31022382
4/8/21,31102447
4/9/21,31187200
4/10/21,31257735
4/11/21,31305191
4/12/21,31367374
4/13/21,31448215
4/14/21,31523820
4/15/21,31597800
4/16/21,31681273
4/17/21,31736761
4/18/21,31780591
4/19/21,31839141
4/20/21,31901582
4/21/21,31965929
4/22/21,32032648
4/23/21,32095544
4/24/21,32150516
4/25/21,32185285
4/26/21,32227571
4/27/21,32279855
4/28/21,32335042
4/29/21,32393868
4/30/21,32451970
5/1/21,32500747
5/2/21,32531302
5/3/21,32575923
5/4/21,32618818
5/5/21,32664862
5/6/21,32711041
5/7/21,32759455
5/8/21,32795112
5/9/21,32817982
5/10/21,32850359
5/11/21,32885837
5/12/21,32921988
5/13/21,32960725
5/14/21,33002942
5/15/21,33033700
5/16/21,33051392
5/17/21,33076635
5/18/21,33105554
5/19/21,33135158
5/20/21,33165376
5/21/21,33194201
5/22/21,33215414
5/23/21,33229199
5/24/21,33251074
5/25/21,33275666
5/26/21,33300261
5/27/21,33327104
5/28/21,33349347
5/29/21,33362658
5/30/21,33370012
5/31/21,33376287
6/1/21,33397141
6/2/21,33413855
6/3/21,33432249
6/4/21,33450114
6/5/21,33465719
6/6/21,33471736
6/7/21,33485808
6/8/21,33498848
6/9/21,33517413
6/10/21,33532194
6/11/21,33557345
6/12/21,33566505
6/13/21,33571776
6/14/21,33583561
6/15/21,33594290
6/16/21,33606196
6/17/21,33617959
6/18/21,33639141
6/19/21,33648192
6/20/21,33653113
6/21/21,33663667
6/22/21,33674463
6/23/21,33687128
6/24/21,33701602
6/25/21,33726205
6/26/21,33735575
6/27/21,33740197
6/28/21,33753820
6/29/21,33761297
6/30/21,33776650
7/1/21,33791771
7/2/21,33821527
7/3/21,33826941
7/4/21,33831226
7/5/21,33840128
7/6/21,33862410
7/7/21,33882587
7/8/21,33903450
7/9/21,33951045
7/10/21,33961165
7/11/21,33972912
7/12/21,34002336
7/13/21,34028867
7/14/21,34059991
7/15/21,34091954
7/16/21,34170065
7/17/21,34184167
7/18/21,34204496
7/19/21,34253339
7/20/21,34293068
7/21/21,34340800
7/22/21,34397332
7/23/21,34518133
7/24/21,34546878
7/25/21,34574851
7/26/21,34654225
7/27/21,34719219
7/28/21,34792789
7/29/21,34865347
7/30/21,35056797
7/31/21,35100691
8/1/21,35145260
8/2/21,35253620
8/3/21,35351373
8/4/21,35453810
8/5/21,35563503
8/6/21,35815397
8/7/21,35878396
8/8/21,35913270
8/9/21,36073063
8/10/21,36190862
8/11/21,36345303
8/12/21,36489379
8/13/21,36716199
8/14/21,36789262
8/15/21,36836048
8/16/21,37030408
8/17/21,37181000
8/18/21,37348607
8/19/21,37503829
8/20/21,37742906
8/21/21,37835097
8/22/21,37879300
8/23/21,38087534
8/24/21,38241993
8/25/21,38420965
8/26/21,38604735
8/27/21,38843417
8/28/21,38922307
8/29/21,38974319
8/30/21,39203537
8/31/21,39383479
9/1/21,39573991
9/2/21,39753113
9/3/21,39988547
9/4/21,40074458
9/5/21,40137959
9/6/21,40231698
9/7/21,40440870
9/8/21,40617778
9/9/21,40784200
9/10/21,41026213
9/11/21,41115344
9/12/21,41163693
9/13/21,41374470
9/14/21,41519874
9/15/21,41693124
9/16/21,41851899
9/17/21,42062753
9/18/21,42137721
9/19/21,42182594
9/20/21,42354388
9/21/21,42476123
9/22/21,42607475
9/23/21,42736636
9/24/21,42911405
9/25/21,42971901
9/26/21,43026221
9/27/21,43182165
9/28/21,43294915
9/29/21,43416301
9/30/21,43526695
10/1/21,43681524
10/2/21,43729731
10/3/21,43774509
10/4/21,43917429
10/5/21,44012655
10/6/21,44124831
10/7/21,44226356
10/8/21,44357776
10/9/21,44396606
10/10/21,44436278
10/11/21,44532342
10/12/21,44642949
10/13/21,44751404
10/14/21,44838347
10/15/21,44947829
10/16/21,44987613
10/17/21,45019266
10/18/21,45118212
10/19/21,45200122
10/20/21,45291741
10/21/21,45369817
10/22/21,45465773
10/23/21,45498188
10/24/21,45517354
10/25/21,45629925
10/26/21,45696582
10/27/21,45799151
10/28/21,45874246
10/29/21,45969352
10/30/21,46003644
10/31/21,46035963
11/1/21,46149215
11/2/21,46217948
11/3/21,46303542
11/4/21,46384979
11/5/21,46481836
11/6/21,46516692
11/7/21,46553517
11/8/21,46664264
11/9/21,46742626
11/10/21,46837695
11/11/21,46895337
11/12/21,47038839
11/13/21,47082788
11/14/21,47114699
11/15/21,47248739
11/16/21,47336007
11/17/21,47448845
11/18/21,47558680
11/19/21,47685548
11/20/21,47730908
11/21/21,47770737
11/22/21,47915356
11/23/21,48006702
11/24/21,48118280
11/25/21,48157599
11/26/21,48211021
11/27/21,48237561
11/28/21,48280708
11/29/21,48467007
11/30/21,48584112
12/1/21,48721220
12/2/21,48860072
12/3/21,49018691
12/4/21,49085032
12/5/21,49140212
12/6/21,49317900
12/7/21,49431162
12/8/21,49581069
12/9/21,49705598
12/10/21,49863800
12/11/21,49920383
12/12/21,49972687
12/13/21,50158180
12/14/21,50273209
12/15/21,50416838
12/16/21,50558566
12/17/21,50751218
12/18/21,50830980
12/19/21,50920180
12/20/21,51160228
12/21/21,51339631
12/22/21,51583381
12/23/21,51853147
12/24/21,52101652
12/25/21,52188299
12/26/21,52366675
12/27/21,52867226
12/28/21,53229227
12/29/21,53731327
12/30/21,54321993
12/31/21,54835602
1/1/22,55024330
1/2/22,55310224
1/3/22,56355119
1/4/22,57167252
1/5/22,57829772
1/6/22,58664732
1/7/22,59534424
1/8/22,59932084
1/9/22,60417049
1/10/22,61800872
1/11/22,62588147
1/12/22,63436716
1/13/22,64298018
1/14/22,65178017
1/15/22,65586300
1/16/22,66066065
1/17/22,66741081
1/18/22,67870503
1/19/22,68778519
1/20/22,69511050
1/21/22,70352053
1/22/22,70654534
1/23/22,71019930
1/24/22,71941924
1/25/22,72435074
1/26/22,73059088
1/27/22,73565361
1/28/22,74179394
1/29/22,74358013
1/30/22,74555958
1/31/22,75098193
2/1/22,75423595
2/2/22,75753108
2/3/22,76027906
2/4/22,76382866
2/5/22,76469277
2/6/22,76552741
2/7/22,76899158
2/8/22,77113458
2/9/22,77301865
2/10/22,77473313
2/11/22,77682630
2/12/22,77734494
2/13/22,77792806
2/14/22,77962984
2/15/22,78074155
2/16/22,78188990
2/17/22,78290683
2/18/22,78435859
2/19/22,78467266
2/20/22,78490267
2/21/22,78573154
2/22/22,78662499
2/23/22,78747644
2/24/22,78814721
2/25/22,78889102
2/26/22,78936516
2/27/22,78954735
